 
To get started, type doc.
For product information, visit www.mathworks.com.
 
[Bai 6 MOSFOA - SONG SONG] Np=20 Max_it=100 Nr=100 Num_work=8 (FE uoc tinh=2020)
ERROR: The process "SAP2000.exe" not found. 
Starting parallel pool (parpool) using the 'local' profile ...
Connected to parallel pool with 8 workers.
KHOI TAO SEED MOI cho run nay: 493192904 (da luu, xem ket qua .mat truong rngSeedUsed).
The he #0 - Kich thuoc Repository: 8 (kha thi: 20/20)
Vong lap 1/100 - Repository: 11 - FE luy ke: 40 - Thoi gian: 3.5 phut
Vong lap 2/100 - Repository: 13 - FE luy ke: 60 - Thoi gian: 7.0 phut
Vong lap 3/100 - Repository: 11 - FE luy ke: 80 - Thoi gian: 10.6 phut
Vong lap 4/100 - Repository: 12 - FE luy ke: 100 - Thoi gian: 14.0 phut
Vong lap 5/100 - Repository: 11 - FE luy ke: 120 - Thoi gian: 17.6 phut
Vong lap 6/100 - Repository: 12 - FE luy ke: 140 - Thoi gian: 21.1 phut
Vong lap 7/100 - Repository: 11 - FE luy ke: 160 - Thoi gian: 24.6 phut
Vong lap 8/100 - Repository: 13 - FE luy ke: 180 - Thoi gian: 28.0 phut
Vong lap 9/100 - Repository: 16 - FE luy ke: 200 - Thoi gian: 31.5 phut
Vong lap 10/100 - Repository: 20 - FE luy ke: 220 - Thoi gian: 34.9 phut
Vong lap 11/100 - Repository: 23 - FE luy ke: 240 - Thoi gian: 38.4 phut
Vong lap 12/100 - Repository: 25 - FE luy ke: 260 - Thoi gian: 41.8 phut
Vong lap 13/100 - Repository: 26 - FE luy ke: 280 - Thoi gian: 45.4 phut
Vong lap 14/100 - Repository: 26 - FE luy ke: 300 - Thoi gian: 48.7 phut
Vong lap 15/100 - Repository: 27 - FE luy ke: 320 - Thoi gian: 52.2 phut
Vong lap 16/100 - Repository: 30 - FE luy ke: 340 - Thoi gian: 55.8 phut
Vong lap 17/100 - Repository: 31 - FE luy ke: 360 - Thoi gian: 59.2 phut
Vong lap 18/100 - Repository: 31 - FE luy ke: 380 - Thoi gian: 62.7 phut
Vong lap 19/100 - Repository: 32 - FE luy ke: 400 - Thoi gian: 66.3 phut
Vong lap 20/100 - Repository: 33 - FE luy ke: 420 - Thoi gian: 69.8 phut
Vong lap 21/100 - Repository: 35 - FE luy ke: 440 - Thoi gian: 73.3 phut
Vong lap 22/100 - Repository: 35 - FE luy ke: 460 - Thoi gian: 76.9 phut
Vong lap 23/100 - Repository: 36 - FE luy ke: 480 - Thoi gian: 80.4 phut
Vong lap 24/100 - Repository: 41 - FE luy ke: 500 - Thoi gian: 83.8 phut
Vong lap 25/100 - Repository: 41 - FE luy ke: 520 - Thoi gian: 87.2 phut
Vong lap 26/100 - Repository: 42 - FE luy ke: 540 - Thoi gian: 90.6 phut
Vong lap 27/100 - Repository: 42 - FE luy ke: 560 - Thoi gian: 94.1 phut
Vong lap 28/100 - Repository: 46 - FE luy ke: 580 - Thoi gian: 97.7 phut
Vong lap 29/100 - Repository: 46 - FE luy ke: 600 - Thoi gian: 101.2 phut
Vong lap 30/100 - Repository: 48 - FE luy ke: 620 - Thoi gian: 104.7 phut
Vong lap 31/100 - Repository: 49 - FE luy ke: 640 - Thoi gian: 108.1 phut
Vong lap 32/100 - Repository: 49 - FE luy ke: 660 - Thoi gian: 111.6 phut
Vong lap 33/100 - Repository: 50 - FE luy ke: 680 - Thoi gian: 115.0 phut
Vong lap 34/100 - Repository: 49 - FE luy ke: 700 - Thoi gian: 118.4 phut
Vong lap 35/100 - Repository: 50 - FE luy ke: 720 - Thoi gian: 121.9 phut
Vong lap 36/100 - Repository: 51 - FE luy ke: 740 - Thoi gian: 125.3 phut
Vong lap 37/100 - Repository: 51 - FE luy ke: 760 - Thoi gian: 128.9 phut
Vong lap 38/100 - Repository: 52 - FE luy ke: 780 - Thoi gian: 132.3 phut
Vong lap 39/100 - Repository: 51 - FE luy ke: 800 - Thoi gian: 135.8 phut
Vong lap 40/100 - Repository: 52 - FE luy ke: 820 - Thoi gian: 139.3 phut
Vong lap 41/100 - Repository: 53 - FE luy ke: 840 - Thoi gian: 142.9 phut
Vong lap 42/100 - Repository: 56 - FE luy ke: 860 - Thoi gian: 146.3 phut
Vong lap 43/100 - Repository: 58 - FE luy ke: 880 - Thoi gian: 149.9 phut
Vong lap 44/100 - Repository: 61 - FE luy ke: 900 - Thoi gian: 153.3 phut
Vong lap 45/100 - Repository: 61 - FE luy ke: 920 - Thoi gian: 156.7 phut
Vong lap 46/100 - Repository: 62 - FE luy ke: 940 - Thoi gian: 160.1 phut
Vong lap 47/100 - Repository: 62 - FE luy ke: 960 - Thoi gian: 163.5 phut
Vong lap 48/100 - Repository: 62 - FE luy ke: 980 - Thoi gian: 166.9 phut
Vong lap 49/100 - Repository: 62 - FE luy ke: 1000 - Thoi gian: 170.3 phut
Vong lap 50/100 - Repository: 64 - FE luy ke: 1020 - Thoi gian: 173.9 phut
Vong lap 51/100 - Repository: 65 - FE luy ke: 1040 - Thoi gian: 177.3 phut
Vong lap 52/100 - Repository: 66 - FE luy ke: 1060 - Thoi gian: 180.7 phut
Vong lap 53/100 - Repository: 68 - FE luy ke: 1080 - Thoi gian: 184.3 phut
